County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Sedgwick County, Colorado",8115,52833,2498
"Randolph County, Arkansas",5121,52838,2497
"Whitman County, Washington",53075,52893,2496
"Graham County, Kansas",20065,52909,2495
"Saluda County, South Carolina",45081,52957,2494
"Richland Parish, Louisiana",22083,52960,2493
"Brunswick County, Virginia",51025,52978,2492
"Bleckley County, Georgia",13023,53005,2491
"Screven County, Georgia",13251,53017,2490
"San Juan County, New Mexico",35045,53020,2489
"Lane County, Kansas",20101,53042,2488
"Hendry County, Florida",12051,53044,2487
"Etowah County, Alabama",1055,53070,2486
"Neshoba County, Mississippi",28099,53087,2485
"White County, Illinois",17193,53097,2484
"Obion County, Tennessee",47131,53102,2483
"Wayne County, Illinois",17191,53107,2482
"Okmulgee County, Oklahoma",40111,53123,2481
"Roosevelt County, Montana",30085,53125,2480
"Sampson County, North Carolina",37163,53159,2479
"Tift County, Georgia",13277,53165,2478
"Dallas County, Missouri",29059,53177,2477
"Richmond County, Georgia",13245,53197,2476
"Lawrence County, Tennessee",47099,53233,2475
"Montgomery County, Kansas",20125,53242,2474
"Liberty County, Montana",30051,53264,2473
"Knox County, Illinois",17095,53291,2472
"Macon County, North Carolina",37113,53298,2471
"Cleburne County, Alabama",1029,53319,2470
"Knox County, Missouri",29103,53333,2469
"Wetzel County, West Virginia",54103,53341,2468
"Harrison County, Missouri",29081,53364,2467
"St. Martin Parish, Louisiana",22099,53394,2466
"Mississippi County, Arkansas",5093,53428,2465
"White County, Arkansas",5145,53435,2464
"Lawrence County, Illinois",17101,53438,2463
"Mason County, West Virginia",54053,53454,2462
"Franklin County, Illinois",17055,53471,2460
"Henderson County, Tennessee",47077,53471,2460
"Tucker County, West Virginia",54093,53475,2459
"Jackson County, North Carolina",37099,53479,2458
"Trinity County, California",6105,53498,2457
"Pondera County, Montana",30073,53500,2456
"Lincoln County, Kansas",20105,53546,2455
"Alcona County, Michigan",26001,53568,2454
"Washington County, Idaho",16087,53608,2453
"Republic County, Kansas",20157,53611,2452
"Iron County, Michigan",26071,53614,2450
"Santa Cruz County, Arizona",4023,53614,2450
"Nicholas County, Kentucky",21181,53616,2449
"Clay County, North Carolina",37043,53645,2448
"Wabash County, Illinois",17185,53650,2447
"Rowan County, Kentucky",21205,53657,2446
"Cherokee County, Oklahoma",40021,53668,2445
"Breckinridge County, Kentucky",21027,53673,2443
"Carbon County, Utah",49007,53673,2443
"Toole County, Montana",30101,53693,2442
"Early County, Georgia",13099,53750,2441
"Isabella County, Michigan",26073,53759,2440
"Edwards County, Kansas",20047,53792,2439
"Levy County, Florida",12075,53805,2438
"Vinton County, Ohio",39163,53813,2437
"Liberty County, Florida",12077,53824,2436
"Athens County, Ohio",39009,53837,2435
"Grundy County, Missouri",29079,53839,2434
"Harrison County, Ohio",39067,53851,2433
"Live Oak County, Texas",48297,53869,2432
"Madison County, Arkansas",5087,53888,2431
"Keweenaw County, Michigan",26083,53893,2430
"Rio Arriba County, New Mexico",35039,53901,2429
"Russell County, Kansas",20167,53902,2428
"Evans County, Georgia",13109,53908,2427
"Irwin County, Georgia",13155,53915,2426
"Mahnomen County, Minnesota",27087,53925,2425
"Dale County, Alabama",1045,53955,2424
"Grant County, Indiana",18053,54007,2423
"Sanders County, Montana",30089,54035,2422
"Haskell County, Texas",48207,54044,2421
"McDuffie County, Georgia",13189,54058,2420
"Stoddard County, Missouri",29207,54067,2419
"Greene County, Tennessee",47059,54071,2418
"Sioux County, Nebraska",31165,54076,2417
"Warren County, Tennessee",47177,54088,2416
"Roscommon County, Michigan",26143,54106,2415
"Simpson County, Mississippi",28127,54111,2414
"Deaf Smith County, Texas",48117,54114,2412
"Jay County, Indiana",18075,54114,2412
"Pittsylvania County, Virginia",51143,54115,2411
"Bath County, Kentucky",21011,54128,2410
"Toombs County, Georgia",13279,54130,2409
"Audubon County, Iowa",19009,54152,2408
"Johnson County, Georgia",13167,54183,2407
"Christian County, Kentucky",21047,54190,2406
"Boone County, Arkansas",5009,54195,2405
"Hardee County, Florida",12049,54231,2404
"Logan County, Arkansas",5083,54237,2403
"Aroostook County, Maine",23003,54254,2402
"Lincoln County, Colorado",8073,54257,2401
"Crittenden County, Arkansas",5035,54271,2400
"Bryan County, Oklahoma",40013,54280,2399
"Saguache County, Colorado",8109,54283,2398
"Harmon County, Oklahoma",40057,54286,2397
"Dent County, Missouri",29065,54306,2396
"Grady County, Georgia",13131,54312,2395
"Cass County, Texas",48067,54328,2394
"Luce County, Michigan",26095,54338,2393
"Ohio County, Kentucky",21183,54369,2392
"Dawes County, Nebraska",31045,54381,2391
"Buena Vista City, Virginia",51530,54458,2390
"Lowndes County, Mississippi",28087,54460,2388
"Lunenburg County, Virginia",51111,54460,2388
"Houston County, Tennessee",47083,54475,2387
"Monroe County, West Virginia",54063,54508,2386
"Walker County, Alabama",1127,54509,2385
"Edmonson County, Kentucky",21061,54512,2384
"Chase County, Kansas",20017,54518,2383
"Vernon County, Missouri",29217,54519,2382
"Vermilion County, Illinois",17183,54537,2381
"Houston County, Texas",48225,54563,2380
"Scott County, Indiana",18143,54583,2379
"Chautauqua County, Kansas",20019,54592,2378
"Pope County, Arkansas",5115,54606,2377
"Gallatin County, Illinois",17059,54626,2376
"Trigg County, Kentucky",21221,54630,2375
"Granite County, Montana",30039,54646,2374
"Ferry County, Washington",53019,54650,2373
"Coshocton County, Ohio",39031,54687,2372
"Wirt County, West Virginia",54105,54688,2371
"Stephens County, Texas",48429,54695,2370
"Pittsburg County, Oklahoma",40121,54787,2369
"Hockley County, Texas",48219,54810,2368
"St. Francois County, Missouri",29187,54813,2367
"George County, Mississippi",28039,54822,2366
"Delta County, Michigan",26041,54829,2365
"Lawrence County, Ohio",39087,54842,2364
"San Saba County, Texas",48411,54855,2363
"San Juan County, Utah",49037,54890,2362
"Otero County, Colorado",8089,54897,2361
"Troup County, Georgia",13285,54905,2360
"Pawnee County, Nebraska",31133,54926,2359
"Saline County, Illinois",17165,54945,2358
"Yancey County, North Carolina",37199,54961,2357
"Dyer County, Tennessee",47045,54973,2356
"Sullivan County, Indiana",18153,54985,2355
"Randolph County, West Virginia",54083,55057,2354
"Camp County, Texas",48063,55061,2353
"Columbia County, Florida",12023,55070,2352
"Logan County, Colorado",8075,55074,2351
"Morris County, Texas",48343,55082,2349
"Prince Edward County, Virginia",51147,55082,2349
"Trumbull County, Ohio",39155,55088,2348
"Delaware County, Oklahoma",40041,55114,2347
"Baraga County, Michigan",26013,55117,2346
"Alleghany County and Clifton Forge City, Virginia",51005,55160,2345
"Miller County, Missouri",29131,55172,2344
"Matagorda County, Texas",48321,55174,2343
"Carroll County, Arkansas",5015,55187,2342
"Piscataquis County, Maine",23021,55234,2341
"Glascock County, Georgia",13125,55250,2340
"Carroll County, Mississippi",28015,55275,2339
"Hawkins County, Tennessee",47073,55278,2338
"St. Louis City, Missouri",29510,55279,2337
"Brown County, Texas",48049,55305,2336
"Polk County, Georgia",13233,55308,2335
"Randolph County, Missouri",29175,55310,2334
"Hill County, Montana",30041,55313,2333
"Hamilton County, Texas",48193,55339,2331
"Orleans Parish, Louisiana",22071,55339,2331
"McCormick County, South Carolina",45065,55344,2330
"Citrus County, Florida",12017,55355,2329
"Wythe County, Virginia",51197,55359,2328
"Noble County, Ohio",39121,55360,2327
"Falls County, Texas",48145,55372,2326
"Eddy County, North Dakota",38027,55389,2325
"Caldwell County, North Carolina",37027,55401,2324
"Marion County, Kentucky",21155,55404,2323
"Garland County, Arkansas",5051,55409,2322
"Baldwin County, Georgia",13009,55413,2321
"Adams County, North Dakota",38001,55417,2318
"Harper County, Kansas",20077,55417,2318
"Judith Basin County, Montana",30045,55417,2318
"Phelps County, Missouri",29161,55427,2317
"Swain County, North Carolina",37173,55429,2316
"Labette County, Kansas",20099,55439,2314
"Twiggs County, Georgia",13289,55439,2314
"Floyd County, Texas",48153,55461,2313
"La Salle County, Texas",48283,55469,2312
"Crawford County, Ohio",39033,55477,2311
"Suwannee County, Florida",12121,55479,2310
"Siskiyou County, California",6093,55499,2309
"Sullivan County, Missouri",29211,55500,2308
"Ashtabula County, Ohio",39007,55507,2307
"Laurens County, South Carolina",45059,55517,2306
"McDowell County, North Carolina",37111,55527,2305
"Camas County, Idaho",16025,55536,2304
"Wayne County, West Virginia",54099,55539,2303
"Clinch County, Georgia",13065,55549,2302
"Gladwin County, Michigan",26051,55576,2300
"Mahoning County, Ohio",39099,55576,2300
"Richardson County, Nebraska",31147,55578,2299
"Highlands County, Florida",12055,55581,2298
"Jones County, North Carolina",37103,55659,2297
"Dona Ana County, New Mexico",35013,55663,2296
"Jackson County, West Virginia",54035,55671,2295
"Burke County, North Carolina",37023,55684,2294
"Menominee County, Michigan",26109,55688,2293
"Neosho County, Kansas",20133,55704,2292
"Calhoun County, Georgia",13037,55714,2291
"Guernsey County, Ohio",39059,55756,2290
"Cheyenne County, Kansas",20023,55765,2289
"Cleveland County, North Carolina",37045,55769,2288
"Dawson County, Texas",48115,55789,2287
"Rockingham County, North Carolina",37157,55796,2286
"Mohave County, Arizona",4015,55799,2285
"Calhoun County, Alabama",1015,55826,2284
"Greene County, Mississippi",28041,55838,2283
"Lawrence County, Missouri",29109,55849,2281
"Montgomery County, North Carolina",37123,55849,2281
"Lowndes County, Georgia",13185,55887,2279
"Walker County, Georgia",13295,55887,2279
"Wheeler County, Nebraska",31183,55893,2278
"Northampton County, Virginia",51131,55933,2277
"Rapides Parish, Louisiana",22079,55946,2276
"Nodaway County, Missouri",29147,55970,2275
"Morgan County, Ohio",39115,55971,2274
"Nye County, Nevada",32023,55975,2273
"Cleburne County, Arkansas",5023,55979,2272
"Sumter County, South Carolina",45085,55990,2271
"Independence County, Arkansas",5063,56009,2270
"Schuyler County, Missouri",29197,56023,2269
"Mitchell County, Texas",48335,56033,2268
"Coles County, Illinois",17029,56040,2267
"Reeves County, Texas",48389,56056,2266
"Bee County, Texas",48025,56075,2265
"Gray County, Texas",48179,56082,2264
"Elk County, Kansas",20049,56087,2263
"Fayette County, Pennsylvania",42051,56093,2262
"Surry County, North Carolina",37171,56095,2261
"Boone County, West Virginia",54005,56152,2260
"Wood County, West Virginia",54107,56193,2259
"Somerset County, Maine",23025,56199,2258
"Meagher County, Montana",30059,56215,2257
"Audrain County, Missouri",29007,56232,2256
"Talladega County, Alabama",1121,56249,2255
"Curry County, New Mexico",35009,56259,2254
"Macon County, Tennessee",47111,56269,2253
"Cambria County, Pennsylvania",42021,56292,2252
"Knox County, Texas",48275,56304,2251
"Bourbon County, Kentucky",21017,56322,2250
"Crawford County, Missouri",29055,56345,2249
"Waynesboro City, Virginia",51820,56364,2248
"Kiowa County, Colorado",8061,56389,2247
"Imperial County, California",6025,56393,2246
"Union County, Illinois",17181,56420,2245
"Rosebud County, Montana",30087,56430,2244
"Sebastian County, Arkansas",5131,56450,2243
"Gallia County, Ohio",39053,56455,2242
"Meriwether County, Georgia",13199,56458,2241
"Essex County, Virginia",51057,56481,2240
"Marshall County, Oklahoma",40095,56495,2239
"Jefferson Davis Parish, Louisiana",22053,56500,2238
"Chautauqua County, New York",36013,56507,2237
"Cass County, Indiana",18017,56525,2236
"Pearl River County, Mississippi",28109,56535,2235
"Putnam County, Tennessee",47141,56537,2234
"Dooly County, Georgia",13093,56545,2233
"Benewah County, Idaho",16009,56553,2232
"Dundy County, Nebraska",31057,56563,2231
"Saline County, Missouri",29195,56566,2230
"Houghton County, Michigan",26061,56573,2229
"Adair County, Missouri",29001,56583,2228
"Barry County, Missouri",29009,56611,2227
"Henry County, Missouri",29083,56621,2226
"Muscogee County, Georgia",13215,56622,2225
"Donley County, Texas",48129,56648,2221
"Modoc County, California",6049,56648,2221
"Monroe County, Tennessee",47123,56648,2221
"Warren County, Mississippi",28149,56648,2221
"Florence County, South Carolina",45041,56650,2220
"Wayne County, Indiana",18177,56652,2219
"Fayette County, Indiana",18041,56659,2218
"Kay County, Oklahoma",40071,56673,2217
"Big Horn County, Montana",30003,56680,2216
"Polk County, Missouri",29167,56686,2215
"Calhoun County, South Carolina",45017,56690,2214
"Pierce County, Georgia",13229,56691,2213
"Presque Isle County, Michigan",26141,56713,2212
"Morris County, Kansas",20127,56716,2211
"Barton County, Kansas",20009,56733,2210
"Colbert County, Alabama",1033,56736,2209
"Grant County, North Dakota",38037,56750,2208
"Greensville County, Virginia",51081,56759,2207
"Greene County, Arkansas",5055,56793,2206
"Sullivan County, Tennessee",47163,56802,2205
"Taylor County, West Virginia",54091,56807,2203
"Union County, Mississippi",28145,56807,2203
"Union County, Iowa",19175,56813,2202
"Jefferson County, Iowa",19101,56824,2201
"Bulloch County, Georgia",13031,56832,2200
"Putnam County, Missouri",29171,56875,2199
"Wadena County, Minnesota",27159,56882,2198
"Jefferson County, Pennsylvania",42065,56898,2197
"Sheridan County, Nebraska",31161,56900,2196
"Edgar County, Illinois",17045,56909,2195
"Chouteau County, Montana",30015,56927,2194
"Delaware County, Indiana",18035,56932,2193
"Custer County, Idaho",16037,56957,2192
"Huron County, Michigan",26063,56963,2191
"Chowan County, North Carolina",37041,56982,2190
"Jefferson County, Ohio",39081,56983,2189
"Jefferson County, Florida",12065,56984,2188
"Arenac County, Michigan",26011,56989,2187
"Ellis County, Oklahoma",40045,56992,2186
"Lamb County, Texas",48279,56997,2185
"Laurel County, Kentucky",21125,56999,2184
"Smith County, Kansas",20183,57024,2183
"Osceola County, Michigan",26133,57050,2182
"Wilson County, Kansas",20205,57056,2181
"Cumberland County, Virginia",51049,57057,2180
"Coosa County, Alabama",1037,57063,2179
"Wahkiakum County, Washington",53069,57091,2178
"Fayette County, Illinois",17051,57113,2177
"Garvin County, Oklahoma",40049,57127,2176
"Decatur County, Iowa",19053,57146,2175
"Hardin County, Illinois",17069,57155,2174
"Tallapoosa County, Alabama",1123,57185,2173
"Worth County, Georgia",13321,57201,2172
"Cimarron County, Oklahoma",40025,57204,2171
"Hickman County, Tennessee",47081,57223,2170
"Harrison County, Mississippi",28047,57233,2169
"Hart County, Georgia",13147,57241,2168
"Tangipahoa Parish, Louisiana",22105,57256,2167
"Langlade County, Wisconsin",55067,57258,2166
"Clay County, Illinois",17025,57266,2165
"Mayes County, Oklahoma",40097,57279,2164
"Bollinger County, Missouri",29017,57286,2163
"Burt County, Nebraska",31021,57303,2162
"Marion County, Ohio",39101,57306,2161
"Cloud County, Kansas",20029,57333,2160
"Geary County, Kansas",20061,57344,2159
"Golden Valley County, Montana",30037,57353,2158
"Rolette County, North Dakota",38079,57355,2157
"Simpson County, Kentucky",21213,57392,2156
"Allegany County, Maryland",24001,57393,2155
"Morgan County, Tennessee",47129,57408,2154
"Lynn County, Texas",48305,57411,2153
"Gentry County, Missouri",29075,57458,2152
"Iberville Parish, Louisiana",22047,57459,2151
"Montgomery County, Kentucky",21173,57468,2150
"Greene County, Missouri",29077,57488,2149
"Accomack County, Virginia",51001,57500,2147
"Rock County, Nebraska",31149,57500,2147
"Silver Bow County, Montana",30093,57504,2146
"Jasper County, Missouri",29097,57525,2145
"Houston County, Alabama",1069,57531,2144
"Vermilion Parish, Louisiana",22113,57537,2143
"Pawnee County, Oklahoma",40117,57551,2142
"Custer County, Oklahoma",40039,57562,2141
"Pike County, Missouri",29163,57572,2140
"Cheyenne County, Nebraska",31033,57594,2139
"Prowers County, Colorado",8099,57601,2138
"Hopkins County, Kentucky",21107,57610,2137
"Kleberg County, Texas",48273,57612,2136
"Barber County, Kansas",20007,57615,2134
"Craighead County, Arkansas",5031,57615,2134
"Allen County, Kansas",20001,57618,2132
"Caldwell County, Kentucky",21033,57618,2132
"St. Bernard Parish, Louisiana",22087,57638,2131
"Ashland County, Wisconsin",55003,57645,2130
"Richland County, Ohio",39139,57649,2129
"Avery County, North Carolina",37011,57657,2128
"Franklin County, Nebraska",31061,57692,2127
"Schoolcraft County, Michigan",26153,57708,2126
"Page County, Iowa",19145,57752,2125
"Carroll County, Kentucky",21041,57753,2124
"Todd County, Kentucky",21219,57759,2123
"Mecosta County, Michigan",26107,57774,2122
"Iberia Parish, Louisiana",22045,57811,2121
"Baker County, Oregon",41001,57844,2120
"Uvalde County, Texas",48463,57849,2119
"Ohio County, West Virginia",54069,57867,2118
"Bates County, Missouri",29013,57914,2117
"Dewey County, South Dakota",46041,57928,2116
"Oxford County, Maine",23017,57933,2115
"Northumberland County, Pennsylvania",42097,57948,2114
"Clearwater County, Idaho",16035,57961,2113
"Beaufort County, North Carolina",37013,57997,2112
"Daniels County, Montana",30019,58000,2110
"Faulk County, South Dakota",46049,58000,2110
"Hardin County, Ohio",39065,58001,2109
"Refugio County, Texas",48391,58016,2108
"Pike County, Illinois",17149,58029,2107
"Beaverhead County, Montana",30001,58072,2106
"Fannin County, Georgia",13111,58073,2105
"Wayne County, North Carolina",37191,58082,2104
"Mitchell County, North Carolina",37121,58089,2103
"Cannon County, Tennessee",47015,58092,2102
"Marion County, Tennessee",47115,58103,2101
"Limestone County, Texas",48293,58109,2100
"Mobile County, Alabama",1097,58119,2099
"Irion County, Texas",48235,58125,2098
"Keith County, Nebraska",31101,58132,2097
"Rhea County, Tennessee",47143,58133,2096
"Montgomery County, Alabama",1101,58153,2095
"Phillips County, Montana",30071,58156,2094
"Madison County, Tennessee",47113,58189,2093
"Mitchell County, Kansas",20123,58233,2092
"Henderson County, Kentucky",21101,58239,2091
"Cattaraugus County, New York",36009,58248,2090
"Taney County, Missouri",29213,58258,2089
"Madison County, Idaho",16065,58259,2088
"Cowley County, Kansas",20035,58263,2087
"Cherokee County, Kansas",20021,58274,2086
"Greenwood County, Kansas",20073,58276,2085
"Vernon Parish, Louisiana",22115,58281,2084
"Tyler County, West Virginia",54095,58293,2083
"Macon County, Missouri",29121,58318,2082
"Rusk County, Wisconsin",55107,58322,2081
"Harrison County, West Virginia",54033,58326,2080
"Delta County, Colorado",8029,58330,2079
"Valencia County, New Mexico",35061,58333,2078
"Saginaw County, Michigan",26145,58347,2077
"Brazos County, Texas",48041,58388,2076
"Meigs County, Tennessee",47121,58395,2075
"Towns County, Georgia",13281,58400,2074
"Miller County, Georgia",13201,58407,2073
"Jackson County, Ohio",39079,58409,2072
"Belmont County, Ohio",39013,58411,2071
"Madison County, Missouri",29123,58435,2070
"Coos County, New Hampshire",33007,58439,2069
"Freestone County, Texas",48161,58460,2068
"Columbiana County, Ohio",39029,58474,2067
"Cumberland County, Tennessee",47035,58475,2066
"Clayton County, Georgia",13063,58507,2065
"Holt County, Missouri",29087,58516,2064
"Franklin County, Maine",23007,58522,2063
"Marion County, Florida",12083,58535,2062
"Mackinac County, Michigan",26097,58598,2061
"Crawford County, Michigan",26039,58614,2060
"Fulton County, Illinois",17057,58617,2059
"Tippecanoe County, Indiana",18157,58622,2058
"Madison County, North Carolina",37115,58628,2057
"Price County, Wisconsin",55099,58720,2056
"Lake County, California",6033,58738,2055
"Indiana County, Pennsylvania",42063,58739,2054
"Daggett County, Utah",49009,58750,2053
"Fayette County, Iowa",19065,58764,2052
"Cumberland County, North Carolina",37051,58780,2051
"Madison County, Georgia",13195,58784,2050
"Webster County, Kentucky",21233,58786,2049
"Clay County, South Dakota",46027,58794,2048
"Cottle County, Texas",48101,58819,2047
"Clinton County, Pennsylvania",42035,58842,2046
"Anderson County, Texas",48001,58846,2045
"Angelina County, Texas",48005,58847,2043
"Scott County, Missouri",29201,58847,2043
"Pitt County, North Carolina",37147,58851,2042
"Tripp County, South Dakota",46123,58854,2041
"Carter County, Oklahoma",40019,58856,2040
"El Paso County, Texas",48141,58859,2039
"Knox County, Indiana",18083,58863,2038
"Throckmorton County, Texas",48447,58864,2037
"Yell County, Arkansas",5149,58870,2036
"Brown County, Kansas",20013,58886,2035
"Kanawha County, West Virginia",54039,58887,2034
"Greeley County, Nebraska",31077,58894,2033
"Valley County, Nebraska",31175,58902,2032
"Taos County, New Mexico",35055,58908,2031
"Dade County, Georgia",13083,58936,2030
"Monroe County, Ohio",39111,58962,2029
"Cochise County, Arizona",4003,58970,2028
"Portsmouth City, Virginia",51740,58972,2027
"Elmore County, Idaho",16039,58976,2026
"Douglas County, Oregon",41019,58983,2025
"Boyd County, Nebraska",31015,58984,2024
"Essex County, Vermont",50009,58985,2023
"Comanche County, Oklahoma",40031,59000,2021
"Shannon County, Missouri",29203,59000,2021
"Gibson County, Tennessee",47053,59009,2020
"Musselshell County, Montana",30065,59010,2019
"Liberty County, Georgia",13179,59013,2017
"Warren County, Pennsylvania",42123,59013,2017
"Allen County, Kentucky",21003,59029,2016
"Randolph County, North Carolina",37151,59047,2015
"Crockett County, Tennessee",47033,59049,2014
"Sawyer County, Wisconsin",55113,59055,2013
"Iron County, Wisconsin",55051,59058,2012
"Polk County, Texas",48373,59066,2011
"Sanilac County, Michigan",26151,59074,2010
"Milam County, Texas",48331,59076,2009
"Lyon County, Kansas",20111,59078,2008
"Prince of Wales-Hyder Census Area, Alaska",2198,59079,2007
"Lauderdale County, Alabama",1077,59082,2006
"Gila County, Arizona",4007,59089,2005
"Josephine County, Oregon",41033,59097,2004
"Karnes County, Texas",48255,59103,2003
"Wayne County, Iowa",19185,59118,2002
"Adams County, Wisconsin",55001,59153,2001
"Greene County, Iowa",19073,59159,2000
"Harper County, Oklahoma",40059,59191,1999
"Buckingham County, Virginia",51029,59199,1998
"Linn County, Kansas",20107,59200,1997
"Muskingum County, Ohio",39119,59203,1996
"Titus County, Texas",48449,59220,1995
"Butts County, Georgia",13035,59221,1993
"Chattahoochee County, Georgia",13053,59221,1993
"Haakon County, South Dakota",46055,59231,1992
"Christian County, Illinois",17021,59253,1991
"Atchison County, Missouri",29005,59260,1990
"Texas County, Oklahoma",40139,59275,1989
"Adams County, Idaho",16003,59286,1987
"Perry County, Illinois",17145,59286,1987
"Bowie County, Texas",48037,59295,1986
"Blaine County, Oklahoma",40011,59304,1985
"Stone County, Mississippi",28131,59307,1984
"Navarro County, Texas",48349,59310,1983
"Petroleum County, Montana",30069,59318,1982
"Humphreys County, Tennessee",47085,59333,1981
"Pointe Coupee Parish, Louisiana",22077,59351,1980
"Klamath County, Oregon",41035,59353,1979
"Gonzales County, Texas",48177,59355,1978
"Vermillion County, Indiana",18165,59363,1977
"Somerset County, Pennsylvania",42111,59378,1976
"Edwards County, Illinois",17047,59386,1975
"Page County, Virginia",51139,59396,1974
"Alger County, Michigan",26003,59406,1973
"Caswell County, North Carolina",37033,59407,1972
"Osborne County, Kansas",20141,59408,1971
"Pickens County, South Carolina",45077,59411,1970
"Buchanan County, Missouri",29021,59423,1969
"Lincoln County, Oklahoma",40081,59425,1968
"Kimball County, Nebraska",31105,59438,1967
"Johnson County, Nebraska",31097,59457,1966
"Aitkin County, Minnesota",27001,59498,1965
"Sherman County, Oregon",41055,59500,1964
"Itawamba County, Mississippi",28057,59508,1963
"Bracken County, Kentucky",21023,59521,1961
"Wayne County, Michigan",26163,59521,1961
"San Jacinto County, Texas",48407,59526,1960
"Menominee County, Wisconsin",55078,59528,1959
"Goliad County, Texas",48175,59556,1958
"Riley County, Kansas",20161,59560,1957
"Jasper County, Georgia",13159,59574,1956
"Owen County, Indiana",18119,59586,1955
"Greenup County, Kentucky",21089,59613,1954
"Baltimore City, Maryland",24510,59623,1953
"Concho County, Texas",48095,59632,1952
"Schley County, Georgia",13249,59647,1951
"Alachua County, Florida",12001,59659,1950
"Newberry County, South Carolina",45071,59670,1949
"Val Verde County, Texas",48465,59673,1948
"McMinn County, Tennessee",47107,59674,1947
"Owen County, Kentucky",21187,59706,1946
"Livingston County, Kentucky",21139,59713,1945
"Forest County, Wisconsin",55041,59727,1944
"Fergus County, Montana",30027,59731,1943
"Bradford County, Florida",12007,59740,1942
"Harrisonburg City, Virginia",51660,59752,1941
"Greene County, Indiana",18055,59753,1940
"Power County, Idaho",16077,59760,1939
"Washington County, Kentucky",21229,59762,1938
"Westmoreland County, Virginia",51193,59766,1937
"Morrill County, Nebraska",31123,59773,1935
"Owyhee County, Idaho",16073,59773,1935
"Grant County, Oregon",41023,59800,1934
"Lee County, Iowa",19111,59803,1933
"Lynchburg City, Virginia",51680,59808,1932
"Kit Carson County, Colorado",8063,59810,1931
"Kingman County, Kansas",20095,59819,1929
"Ross County, Ohio",39141,59819,1929
"Cherokee County, Texas",48073,59830,1928
"Potter County, Pennsylvania",42105,59840,1927
"Albany County, Wyoming",56001,59881,1926
"Ellis County, Kansas",20051,59889,1925
"Crane County, Texas",48103,59915,1924
"Sabine County, Texas",48403,59924,1923
"Jefferson County, Texas",48245,59934,1922
"Comanche County, Texas",48093,59946,1921
"Pulaski County, Indiana",18131,59956,1920
"Webster County, Mississippi",28155,59964,1919
"Leon County, Texas",48289,59975,1918
"Jefferson County, Indiana",18077,59987,1917
"Red Willow County, Nebraska",31145,60000,1915
"Sierra County, California",6091,60000,1915
"Wapello County, Iowa",19179,60034,1914
"Stokes County, North Carolina",37169,60039,1913
"Lawrence County, Alabama",1079,60040,1912
"Fayette County, Ohio",39047,60047,1911
"Yuma County, Colorado",8125,60051,1910
"Perry County, Arkansas",5105,60078,1909
"Hoke County, North Carolina",37093,60095,1907
"Lucas County, Ohio",39095,60095,1907
"Frio County, Texas",48163,60098,1906
"Nemaha County, Nebraska",31127,60132,1905
"Henry County, Alabama",1067,60135,1904
"Thomas County, Georgia",13275,60140,1903
"Henry County, Indiana",18065,60144,1902
"Livingston County, Missouri",29117,60148,1901
"Loup County, Nebraska",31115,60156,1900
"Collingsworth County, Texas",48087,60165,1899
"Stutsman County, North Dakota",38093,60172,1898
"Clearfield County, Pennsylvania",42033,60181,1897
"Greer County, Oklahoma",40055,60183,1895
"Van Buren County, Iowa",19177,60183,1895
"Oconee County, South Carolina",45073,60193,1894
"Spalding County, Georgia",13255,60217,1893
"Delaware County, New York",36025,60226,1892
"Polk County, Tennessee",47139,60227,1891
"Pettis County, Missouri",29159,60232,1890
"Stephens County, Oklahoma",40137,60236,1889
"Crawford County, Pennsylvania",42039,60254,1888
"Wallace County, Kansas",20199,60263,1887
"Van Buren County, Tennessee",47175,60281,1886
"Rush County, Kansas",20165,60288,1885
"Okanogan County, Washington",53047,60293,1884
"Hampshire County, West Virginia",54027,60299,1883
"Bedford County, Pennsylvania",42009,60302,1882
"Coos County, Oregon",41011,60313,1878
"Cotton County, Oklahoma",40033,60313,1878
"Hayes County, Nebraska",31085,60313,1878
"Keya Paha County, Nebraska",31103,60313,1878
"Yadkin County, North Carolina",37197,60321,1877
"Marshall County, West Virginia",54051,60329,1876
"Childress County, Texas",48075,60333,1875
"Sumner County, Kansas",20191,60348,1874
"Mercer County, Missouri",29129,60357,1873
"Crawford County, Arkansas",5033,60362,1872
"Kalkaska County, Michigan",26079,60365,1871
"Phillips County, Colorado",8095,60372,1870
"Calhoun County, Michigan",26025,60385,1868
"Pulaski County, Arkansas",5119,60385,1868
"Richland County, Illinois",17159,60404,1867
"Yuma County, Arizona",4027,60417,1866
"Osage County, Oklahoma",40113,60482,1865
"Dorchester County, Maryland",24019,60495,1864
"Reno County, Kansas",20155,60498,1863
"Washington County, Alabama",1129,60503,1862
"Bay County, Michigan",26017,60523,1861
"Chester County, Tennessee",47023,60543,1860
"Big Horn County, Wyoming",56003,60547,1859
"Dewey County, Oklahoma",40043,60550,1858
"Jefferson County, Nebraska",31095,60568,1857
"Wyandotte County, Kansas",20209,60582,1856
"Blair County, Pennsylvania",42013,60594,1855
"Mercer County, Pennsylvania",42085,60614,1854
"Furnas County, Nebraska",31065,60625,1853
"Chippewa County, Michigan",26033,60631,1852
"Coffee County, Tennessee",47031,60656,1851
"Boyd County, Kentucky",21019,60659,1850
"Des Moines County, Iowa",19057,60662,1849
"Daviess County, Missouri",29061,60665,1848
"Clarion County, Pennsylvania",42031,60668,1847
